Kata
abadi
abai
abaktinal
abdominal
abid
abiotik
abjadiah
abnormal
abortif
abras
absah
absolut
absonan
absorptif
abstrak
absurd
abtar
abuh-abuhan
abuhan
abur
acak
acak-acakan
acap
acap kali
aci
acoan
adaktil
adaptabel
adaptif
adar
adati
adekuat
adem
adhesif
adiabatik
adiaktinik
adidaya
adigang
adiguna
adika
adikodrati
adiktif
adil
adiluhung
adinamia
adisional
aditama
aditif
adiwarna
adjektival
administratif
adoptif
adrenergik
adventisius
adverbial
aerodinamik
afdal
afektif
afiat
afirmatif
afotik
agalaksia
agam
agamais
agamawi
agentif
agitatif
aglutinatif
agraris
agregatif
agresif
agresif ofensif
agul
agung
ahistoris
ahmak
aib 1
ajaib
aji
akademis
akak
akal-akal
akas
akbar
akil
akli
akliah
akmal
akomodatif
akrab
akrilik
akseptabel
aksiomatis
aktif
aktinik
aktual
akuatik
akumulatif
akurat
akustik
akut
alah
alakrima
alami
alamiah
alang-alangan
albinoid
albuminoit
albuminuria
alegoris
alegreto
alegro
alem
alergis
alfabetis
alga
algoid
alifatik
alim
alisiklik
alkalis
alpa
altruistis
aluvial
alveolar
am
amaliah
aman
amatir-amatiran
ambekan
ambigu
ambisius
ambivalen
ambulatori
amburadul
ameboid
amelioratif
amenorea
ametria
amfoterik
ami
amis
amniotik
amoral
amorf
ampai
ampang
anaerobik
anaforis
anak zadah
anakusis
anal
analitis
analog
anarkistis
anasional
anatomis
andal
andante
aneh
aneka jenis
aneka ragam
aneroid
anestetis
angel
anggal
anggara
angin-anginan
angit
angker
angkuh
angot
angut
anih
aniridia
anisotropis
anodonsia
anonim
anorganik
anorgastik
antagonistis
antap
antarbangsa
antarbenua
antarkelompok
antarlingkungan
antarmaster
antarnegara
antarplanet
antarpribadi
antarpulau
antarras
antarruang
antemeridiem
anter-anter
anterior
antik
antikarat
antiklinal
antiseptik
antisiklonal
antisiklonis
antisipatif
antitank
antropoid
antroposentris
antusias
anumerta
anyir
apak
apatis
apatride
apik
apikal
aplikatif
apodal
apokaliptik
apokromatik
apolitis
apologetis
aposematik
aposisional
apostolik
apresiatif
aprit-apritan
apuh
arau
arbitrer
arboreal
areal
argumentatif
arif
arip
aristokratis
aritenoid
arkais
arkeologis
arogan
aromatik
artetis
artifisial
artistik
asa-asaan
asal-asalan
asasi
aseksual
asih
asiklik
asilabis
asimetris
asimilatif
asin
asing
askriptif
asosial
asosiatif
aspirasional
aspiratif
astasia
astatik
astenik
astral
astronomis
asumtif
asusila
asyik
asyik-asyiknya
ateistis
atmosferis
atraktif
audio
audiolingual
audiovisual
aural
aus
autentik
autistik
autodidaktik
autogen
autokton
automotif
autotrofik
avirulen
awaair
awaarang
awabau
awabeku
awabulu
awabusa
awadara
awah
awahama
awam
awamineral
awanama
awaracun
awawarna
ayal
ayit
ayu
azal
azospermi
babil
babur
bacar
bacin
bacul
badani
baduk
bagak
bagal
bagas
bagong
bagur
bagus
bagusan
bahenol
